PDB1,PDB2,abbreviation,protein name
1jfk_A,2nxq_B,CaBP,calcium-binding protein 
2vfx_L,3gmh_L,Mad2,Mitotic spindle assembly checkpoint protein
1x0g_A,1x0g_D,IscA,Fe-S cluster  scaffold protein
4zt0_C,4cmq_B,Cas9,CRISPR-associated endonuclease Cas9
3zwg_N,4tsy_D,FraC,Fragaceatoxin C
4n9w_A,4nc9_C,PimA,phosphatidyl mannosyltransferase PimA
4pyi_A,4pyj_A,COMT,Catechol O-Methyltransferase
2bzy_B,2lqw_A,CRKL,Crk-like protein
2kxo_A,3r9j_C,MinE,Cell division topological specificity factor
2qqj_A,4qds_A,Nrp2,Neuropilin-2
5ejb_C,1wp8_C,FUS_HENDH,fusion Hendra virus F protein
5jyt_A,2qke_E,KaiB,Circadian Clock Protein KaiB 
6c6s_D,2oug_C,RfaH,Transcriptional activator rfaH
1ebo_E,5fhc_J,GP2,viral fusion glycoprotein
4y0m_J,4xws_D,OxyR ,peroxide sensor, LysR-type transcriptional regulator (LTTR) 
1kct_A,3t1p_A,A1AT,alpha 1-antitrypsin
3tp2_A,5lj3_M,Cwc2,Splicing Factor Cwc2 
5hmg_A,3ztj_E,Fab,influenza A neutralizing antibody
